Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533708375432&slink=5p50j9&f1=1,25,1,6,"град София, Витоша",2020,1-СТАЕН,Тухла,27999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158919091828138&slink=5p50j9&f1=1,25,1,5,"град София, Гео Милев",2010,1-СТАЕН,Тухла,29999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533701329822&slink=5p50j9&f1=1,25,1,6,"град София, Дианабад",2020,1-СТАЕН,Тухла,27999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649741579316&slink=5p50j9&f1=1,25,0,0,"град София, Левски",2009,1-СТАЕН,Тухла,27000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159223045447297&slink=5p50j9&f1=1,25,5,5,"град София, Люлин 1",0,1-СТАЕН,Панел,19990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159367720024684&slink=5p50j9&f1=1,25,1,5,"град София, Люлин 2",2010,1-СТАЕН,Тухла,24999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159220725204945&slink=5p50j9&f1=1,25,1,7,"град София, Люлин 5",0,1-СТАЕН,Панел,23500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158953192140486&slink=5p50j9&f1=1,25,1,7,"град София, Люлин 5",1985,1-СТАЕН,Панел,23500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159461686071831&slink=5p50j9&f1=1,25,1,7,"град София, Люлин 7",1980,1-СТАЕН,ПК,36490
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159490277515664&slink=5p50j9&f1=1,25,1,8,"град София, Мусагеница",1980,1-СТАЕН,Панел,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159473414864531&slink=5p50j9&f1=1,25,1,8,"град София, Мусагеница",1980,1-СТАЕН,Панел,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159411687183451&slink=5p50j9&f1=1,25,1,6,"град София, Овча купел",1997,1-СТАЕН,Тухла,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159402557443121&slink=5p50j9&f1=1,25,1,5,"град София, Редута",2010,1-СТАЕН,Тухла,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533675306553&slink=5p50j9&f1=1,25,1,6,"град София, Студентски град",2010,1-СТАЕН,Тухла,27999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a134571656634196&slink=5p50j9&f1=1,25,1,3,"град София, Център",0,1-СТАЕН,Тухла,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158878497502454&slink=5p50j9&f1=1,25,1,5,"град София, Редута",2010,"АТЕЛИЕ, ТАВАН",Тухла,27000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158919543212606&slink=5p50j9&f1=1,25,1,5,"град София, Редута",2010,"АТЕЛИЕ, ТАВАН",Тухла,30000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533280187884&slink=5p50jf&f1=1,27,2,14,"град София, Люлин 10",1980,1-СТАЕН,ЕПК,41000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157596497501573&slink=5p50jf&f1=1,27,1,6,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158997953072356&slink=5p50jf&f1=1,27,1,6,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157613712866846&slink=5p50jf&f1=1,27,1,6,"град София, Люлин 6",2015,1-СТАЕН,Тухла,27000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533254697119&slink=5p50jf&f1=1,27,2,14,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,41000
