Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
35,1,4,"град София, Кръстова вада",2024,1-СТАЕН,Тухла,61565
35,10,12,"град София, Люлин 4",1981,1-СТАЕН,ЕПК,63900
35,1,9,"град София, Люлин 5",1980,1-СТАЕН,Панел,62500
35,1,8,"град София, Люлин 6",1987,1-СТАЕН,Панел,50000
35,5,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,48000
35,1,6,"град София, Манастирски ливади",2022,1-СТАЕН,Тухла,69800
35,1,5,"град София, Младост 1",2005,1-СТАЕН,Тухла,60000
35,1,5,"град София, Младост 1",2003,1-СТАЕН,Тухла,60000
35,9,14,"град София, Мусагеница",1985,1-СТАЕН,ЕПК,70000
35,2,6,"град София, Овча купел",2024,1-СТАЕН,Тухла,53840
35,2,6,"град София, Овча купел",2023,1-СТАЕН,Тухла,53841
35,2,6,"град София, Овча купел",2024,1-СТАЕН,Тухла,53841
35,2,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,53841
35,3,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,54545
35,4,6,"град София, Овча купел",2024,1-СТАЕН,Тухла,55600
35,3,6,"град София, Овча купел",2024,1-СТАЕН,Тухла,55600
35,4,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,56833
35,9,9,"град София, Стрелбище",2000,1-СТАЕН,Панел,56000
35,5,6,"град София, Студентски град",2024,1-СТАЕН,Тухла,47900
35,1,5,"град София, Студентски град",2022,1-СТАЕН,Тухла,60000
35,2,8,"град София, Студентски град",2023,1-СТАЕН,Тухла,60390
35,2,9,"град София, Студентски град",2022,1-СТАЕН,Тухла,72468
35,1,7,"град София, Студентски град",2016,1-СТАЕН,Тухла,73500
35,4,6,"град София, Студентски град",2017,1-СТАЕН,Тухла,84000
35,4,4,"град София, Център",1950,1-СТАЕН,Тухла,120000
35,1,8,"град София, Люлин 6",1985,2-СТАЕН,ЕПК,50000
35,1,4,"град София, Център",1951,2-СТАЕН,Тухла,105000
36,9,12,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,65500
36,3,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,55754
36,3,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,53800
36,3,5,"град София, Банишора",2024,1-СТАЕН,Тухла,59400
36,5,6,"град София, Витоша",2014,1-СТАЕН,Тухла,99999
36,3,4,"град София, Драгалевци",2022,1-СТАЕН,Тухла,68400
36,6,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,61980
36,6,6,"град София, Дървеница",2024,1-СТАЕН,Тухла,74246
36,1,6,"град София, Дървеница",2022,1-СТАЕН,Тухла,110021
36,1,5,"град София, Лозенец",1998,1-СТАЕН,Тухла,94500
36,12,14,"град София, Люлин 4",1988,1-СТАЕН,ЕПК,53000
36,3,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,60000
36,8,17,"град София, Надежда 1",2024,1-СТАЕН,Тухла,44742
36,2,6,"град София, Овча купел",2025,1-СТАЕН,Тухла,53236
36,4,6,"град София, Овча купел",2024,1-СТАЕН,Тухла,54315
36,4,6,"град София, Овча купел",2023,1-СТАЕН,Тухла,56833
36,2,6,"град София, Овча купел",2025,1-СТАЕН,Тухла,59037
36,4,8,"град София, Овча купел 2",2024,1-СТАЕН,Тухла,46162
36,4,8,"град София, Овча купел 2",2023,1-СТАЕН,Тухла,46163
36,5,6,"град София, Студентски град",2023,1-СТАЕН,Тухла,65990
36,1,8,"град София, Люлин 6",1985,2-СТАЕН,ЕПК,49999
37,8,16,"град София, Студентски град",2018,1-СТАЕН,Тухла,69990
37,1,7,"град София, Дружба 2",2017,1-СТАЕН,Тухла,59900
37,5,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,58000
37,1,4,"град София, Малинова долина",2018,1-СТАЕН,Тухла,70000
37,9,24,"град София, Сердика",2026,1-СТАЕН,Тухла,40793
37,5,6,"град София, Студентски град",2025,1-СТАЕН,Тухла,58000
37,7,8,"град София, Студентски град",2024,1-СТАЕН,Тухла,64937
37,5,17,"град София, Банишора",2023,1-СТАЕН,Тухла,45178
37,1,12,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,45999
37,1,12,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,49000
37,1,4,"град София, Малинова долина",2022,1-СТАЕН,Тухла,46600
37,5,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,58000
37,2,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,58000
37,5,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,58000
37,4,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,60000
37,3,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,60000
37,4,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,60000
37,3,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,60000
37,9,12,"град София, Младост 3",1987,1-СТАЕН,ЕПК,80000
37,3,5,"град София, Овча купел",2024,1-СТАЕН,Тухла,53800
37,6,6,"град София, Овча купел",2020,1-СТАЕН,Тухла,55000
37,4,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,70000
37,4,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,77950
37,4,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,77999
