Id,Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
36,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156087282546506&slink=4orkl8&f1=1,26,0,0,"град София, Изгрев",2008,1-СТАЕН,Тухла,38500
37,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155859346330233&slink=4orkl8&f1=1,26,1,6,"град София, Изгрев",2008,1-СТАЕН,Тухла,39500
38,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154409432767794&slink=4orkl8&f1=1,26,0,0,"град София, Редута",2017,1-СТАЕН,Тухла,32000
39,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155782513544018&slink=4orkl8&f1=1,26,0,0,"град София, Редута",2004,1-СТАЕН,Тухла,32000
40,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155981142863813&slink=4orkl8&f1=1,26,4,7,"град София, Сухата река",1970,1-СТАЕН,Панел,29000
41,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156228624448195&slink=4orkl8&f1=1,26,0,0,"град София, Център",0,1-СТАЕН,Тухла,55000
42,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155801427360434&slink=4orklb&f1=1,27,2,6,"град София, Център",2020,1-СТАЕН,Тухла,26000
43,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155125641513146&slink=4orklb&f1=1,27,2,6,"град София, Банишора",2020,1-СТАЕН,Тухла,26000
44,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a151877069898352&slink=4orklb&f1=1,27,1,15,"град София, Банишора",1985,1-СТАЕН,ЕПК,35000
45,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a152544845394747&slink=4orklb&f1=1,27,0,0,"град София, Кръстова вада",2018,1-СТАЕН,Тухла,35000
46,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155848230335629&slink=4orklb&f1=1,27,0,0,"град София, Люлин 1",0,1-СТАЕН,Панел,23780
47,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155833892052638&slink=4orklb&f1=1,27,0,0,"град София, Люлин 1",1992,1-СТАЕН,Панел,23800
48,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156155110687611&slink=4orklb&f1=1,27,0,0,"град София, Люлин 1",1992,1-СТАЕН,Панел,23800
49,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155843114033830&slink=4orklb&f1=1,27,1,6,"град София, Люлин 1",1992,1-СТАЕН,Панел,23800
50,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156056034305939&slink=4orklb&f1=1,27,0,0,"град София, Младост 1",0,1-СТАЕН,Тухла,30000
51,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156056034112486&slink=4orklb&f1=1,27,0,0,"град София, Младост 1",0,1-СТАЕН,Тухла,30000
52,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a149908533417441&slink=4orklb&f1=1,27,6,14,"град София, Център",0,1-СТАЕН,ЕПК,35000
53,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h113083319205317&slink=4orklb&f1=1,27,2,6,"град София, Банишора",0,"АТЕЛИЕ, ТАВАН",Тухла,25641
54,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155497931295836&slink=4orklb&f1=1,27,0,0,"град София, Манастирски ливади",2007,"АТЕЛИЕ, ТАВАН",Тухла,24000
55,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h154998103245573&slink=4orklb&f1=1,27,2,7,"град София, Център",2020,"АТЕЛИЕ, ТАВАН",Тухла,39774
56,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156093019800056&slink=4orkld&f1=1,28,1,2,"град София, Център",1920,1-СТАЕН,Тухла,31000
57,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156038268364517&slink=4orkld&f1=1,28,0,0,"град София, Център",0,1-СТАЕН,Тухла,31000
58,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155911513112640&slink=4orkld&f1=1,28,0,0,"град София, Център",1920,"АТЕЛИЕ, ТАВАН",Тухла,31000
59,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155074455117269&slink=4orkld&f1=1,28,1,2,"град София, Център",1970,"АТЕЛИЕ, ТАВАН",Тухла,31000
60,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155472121030924&slink=4orkle&f1=1,29,5,8,"град София, Люлин 5",0,1-СТАЕН,Панел,22000
61,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156144409569979&slink=4orkle&f1=1,29,0,0,"град София, Център",1920,1-СТАЕН,Тухла,31000
62,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c155117523604518&slink=4orkle&f1=1,29,0,0,"град София, Център",2020,3-СТАЕН,Тухла,33000
63,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156231374730156&slink=4orklg&f1=1,30,5,12,"град София, Люлин 5",0,1-СТАЕН,ЕПК,28000
64,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b156126709147537&slink=4orklg&f1=1,30,6,6,"град София, Център",1942,2-СТАЕН,Тухла,64000
65,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153812047059112&slink=4orklg&f1=1,30,12,16,"град София, Център",2018,1-СТАЕН,ЕПК,35000
66,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155921441364529&slink=4orklg&f1=1,30,0,0,"град София, Център",1940,1-СТАЕН,Тухла,31000
67,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154117521775448&slink=4orklg&f1=1,30,0,0,"град София, Хладилника",2008,1-СТАЕН,Тухла,48900
68,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156232356754055&slink=4orklg&f1=1,30,1,10,"град София, Хиподрума",0,1-СТАЕН,Тухла,26500
69,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153716519631141&slink=4orklg&f1=1,30,3,6,"град София, Триъгълника",2016,1-СТАЕН,Тухла,52400
70,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156025740841341&slink=4orklg&f1=1,30,8,9,"град София, Студентски град",0,1-СТАЕН,Тухла,38000
71,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156232318383379&slink=4orklg&f1=1,30,1,10,"град София, Стрелбище",0,1-СТАЕН,Тухла,26500
72,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156232003098094&slink=4orklg&f1=1,30,6,6,"град София, Надежда 2",1996,"АТЕЛИЕ, ТАВАН",Тухла,22500
73,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155956201228979&slink=4orklg&f1=1,30,3,7,"град София, Павлово",0,1-СТАЕН,Панел,37500
74,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156004020326691&slink=4orklg&f1=1,30,0,0,"град София, Овча купел",0,1-СТАЕН,Панел,29000
75,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156205169646769&slink=4orklg&f1=1,30,2,16,"град София, Младост 2",1985,1-СТАЕН,ЕПК,49999
76,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156197850620983&slink=4orklg&f1=1,30,5,8,"град София, Люлин 6",0,1-СТАЕН,Панел,44000
77,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155531866190440&slink=4orklg&f1=1,30,3,6,"град София, Люлин 5",1980,1-СТАЕН,Панел,24900
78,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155549367269981&slink=4orklg&f1=1,30,5,8,"град София, Люлин 5",0,1-СТАЕН,Панел,21990
79,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154400206745372&slink=4orklg&f1=1,30,0,0,"град София, Лозенец",2008,1-СТАЕН,Тухла,47799
80,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a151359067831277&slink=4orklg&f1=1,30,4,18,"град София, Банишора",1980,1-СТАЕН,ЕПК,35000
81,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155264580871646&slink=4orklg&f1=1,30,0,0,"град София, Редута",2007,1-СТАЕН,Тухла,25500
82,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156153957365737&slink=4orklg&f1=1,30,0,0,"град София, Овча купел",0,1-СТАЕН,Тухла,35950
83,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155264561047167&slink=4orklg&f1=1,30,0,0,"град София, Редута",2007,"АТЕЛИЕ, ТАВАН",Тухла,25500
84,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155972943265645&slink=4orklj&f1=1,31,0,0,"град София, Овча купел",0,"АТЕЛИЕ, ТАВАН",Тухла,25990
85,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153557197101209&slink=4orklj&f1=1,31,4,8,"град София, Надежда 3",0,1-СТАЕН,Тухла,27200
86,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154927539035033&slink=4orklj&f1=1,31,16,16,"град София, Надежда 4",1987,1-СТАЕН,ЕПК,32000
87,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156073245846830&slink=4orklj&f1=1,31,0,0,"град София, Овча купел",0,1-СТАЕН,Тухла,28500
88,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156111623811501&slink=4orklj&f1=1,31,0,0,"град София, Студентски град",2014,1-СТАЕН,Тухла,31500
89,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b155973342255672&slink=4orkll&f1=1,32,0,0,"град София, Студентски град",0,2-СТАЕН,Тухла,0
90,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155592476975349&slink=4orkll&f1=1,32,1,5,"град София, Студентски град",2019,1-СТАЕН,Тухла,34000
91,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155983806615235&slink=4orkll&f1=1,32,0,0,"град София, Студентски град",0,1-СТАЕН,Тухла,30999
92,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155247759150438&slink=4orkll&f1=1,32,6,8,"град София, Надежда 2",0,1-СТАЕН,Тухла,39000
93,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153597607517335&slink=4orkll&f1=1,32,7,8,"град София, Младост 3",1989,1-СТАЕН,Панел,41000
