Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
38,3,6,"град София, Овча купел 1",2020,1-СТАЕН,Тухла,38430
38,2,6,"град София, Овча купел 2",2020,1-СТАЕН,Тухла,33044
38,1,6,"град София, Студентски град",2020,1-СТАЕН,Тухла,30750
38,1,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,30750
38,4,14,"град София, Студентски град",2018,1-СТАЕН,Тухла,34990
38,3,13,"град София, Студентски град",2018,1-СТАЕН,Тухла,41999
38,2,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,33800
38,6,8,"град София, Студентски град",2017,1-СТАЕН,Тухла,42999
38,7,17,"град София, Студентски град",2016,1-СТАЕН,Тухла,48500
38,6,8,"град София, Студентски град",2017,1-СТАЕН,Тухла,65000
38,1,6,"град София, Център",2020,1-СТАЕН,Тухла,42000
38,2,6,"град София, Център",2020,1-СТАЕН,Тухла,45000
38,2,7,"град София, Център",2020,1-СТАЕН,Тухла,45000
38,5,14,"град София, Банишора",2017,2-СТАЕН,ЕПК,45000
38,7,14,"град София, Студентски град",2017,1-СТАЕН,Тухла,43500
38,6,9,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
38,3,6,"град София, Овча купел 2",2020,1-СТАЕН,Тухла,33398
38,13,17,"град София, Студентски град",2018,1-СТАЕН,Тухла,51000
38,2,2,"град София, Западен парк",1951,1-СТАЕН,Гредоред,43499
38,3,6,"град София, Овча купел 2",2020,1-СТАЕН,Тухла,38430
38,6,16,"град София, Студентски град",2018,1-СТАЕН,Тухла,47900
38,7,13,"град София, Витоша",2019,1-СТАЕН,Тухла,41500
38,7,13,"град София, Витоша",2018,1-СТАЕН,Тухла,41500
38,2,2,"град София, Гевгелийски",1951,1-СТАЕН,Тухла,43499
38,2,6,"град София, Дървеница",2018,1-СТАЕН,Тухла,46000
38,1,6,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,42000
38,2,8,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,45000
38,2,7,"град София, Зона Б-18",2019,1-СТАЕН,Тухла,45000
38,1,6,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,42000
38,2,7,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,45000
38,2,7,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,45000
38,6,9,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42450
38,6,8,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
38,5,5,"град София, Център",1937,2-СТАЕН,Тухла,84999
39,7,13,"град София, Студентски град",2018,1-СТАЕН,Тухла,41000
39,2,6,"град София, Студентски град",2020,1-СТАЕН,Тухла,32370
39,2,5,"град София, Обеля 1",2019,1-СТАЕН,Тухла,28900
39,9,9,"град София, Люлин 2",2021,1-СТАЕН,Тухла,27003
39,9,9,"град София, Люлин 2",2021,1-СТАЕН,Тухла,27003
39,4,5,"град София, Люлин 1",1996,1-СТАЕН,Тухла,40000
39,5,6,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,42900
39,4,6,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,42858
