Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158418720127317&slink=60chl3&f1=1,60,900,0,0,"град София, Ботунец",0,КЪЩА,Гредоред,45100
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158377141065404&slink=60chl3&f1=1,60,1000,0,0,"град София, в.з.Врана - Лозен",1991,КЪЩА,Тухла,150000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160025736205901&slink=60chl3&f1=1,60,540,0,0,"град София, Горубляне",0,КЪЩА,Тухла,128000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155472653414327&slink=60chl3&f1=1,60,1300,0,0,"град София, гр. Банкя",1959,КЪЩА,Тухла,120000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158021941682238&slink=60chl3&f1=1,60,210,0,0,"град София, гр. Нови Искър",1982,КЪЩА,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158766879792564&slink=60chl3&f1=1,60,1753,0,0,"град София, Илиянци",0,КЪЩА,Тухла,162990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160180088770194&slink=60chl3&f1=1,60,500,0,0,"град София, м-т Щъркелово гнездо",0,КЪЩА,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160164756995337&slink=60chl3&f1=1,60,352,0,0,"град София, Орландовци",1956,КЪЩА,Гредоред,72000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j154960565324053&slink=60chl3&f1=1,60,340,0,0,"град София, Орландовци",0,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157486591942473&slink=60chl3&f1=1,60,1424,0,0,"град София, с. Бусманци",0,КЪЩА,Тухла,91500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159350703918869&slink=60chl3&f1=1,60,700,0,0,"град София, с. Войнеговци",1980,КЪЩА,Тухла,76000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159593804184754&slink=60chl3&f1=1,60,540,0,0,"град София, с. Войнеговци",0,КЪЩА,Тухла,76000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159049025452073&slink=60chl3&f1=1,60,982,0,0,"град София, с. Мало Бучино",1960,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160365464018469&slink=60chl3&f1=1,60,515,2,2,"град София, с. Мърчаево",0,КЪЩА,Гредоред,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159488661955146&slink=60chl3&f1=1,60,5121,0,0,"град София, с. Мърчаево",1935,КЪЩА,Гредоред,149500
